title,authors,pubdate,tags,#grrating,#grvotes,#wordcount,#pagecount,size,publisher
"The Reverse of the Medal","Patrick O'Brian","1986-01-01T03:00:00-05:00","War, Historical, Adventure, Fiction:Historical","4.43","11083","95339","288","348852","W. W. Norton & Company"
"The Hundred Days","Patrick O'Brian","1998-01-01T03:00:00-05:00","War, Historical, Adventure, Fiction:Historical","4.37","8841","94588","297","348699","HarperCollins"
"The Fortune of War","Patrick O'Brian","1979-01-01T03:00:00-05:00","War, Historical, Adventure, Fiction:Historical","4.41","15228","110742","339","385540","W. W. Norton & Company"
"The Surgeon's Mate","Patrick O'Brian","1980-01-15T03:00:00-05:00","War, Historical, Adventure, Fiction:Historical","4.4","14208","128803","391","439403","W. W. Norton & Company"
"The Letter of Marque","Patrick O'Brian","1988-01-01T03:00:00-05:00","War, Historical, Adventure, Fiction:Historical","4.5","12083","101760","308","359890","HarperCollins"
"Clarissa Oakes","Patrick O'Brian","1991-01-01T03:00:00-05:00","War, Historical, Adventure, Fiction:Historical","4.36","10116","93608","285","357235","Harper Perennial"
"Treason's Harbour","Patrick O'Brian","1983-01-01T03:00:00-05:00","Adventure, Fiction:Historical, Classics, Historical, War","4.38","12780","113149","338","379903","HarperCollins Publishers Ltd."
"The Mauritius Command","Patrick O'Brian","1977-01-01T03:00:00-05:00","War, Historical, Adventure, Fiction:Historical","4.35","18490","115547","342","380612","Harper"
"H.M.S. 'Surprise'","Patrick O'Brian","1973-01-01T03:00:00-05:00","War, Historical, Adventure, Fiction:Historical, Fiction, General, Action","4.42","21526","128269","393","430683","W. W. Norton & Company"
"The Third Bear","Jeff VanderMeer","2010-01-01T03:00:00-05:00","Horror, Science Fiction, Fantasy","3.9","1469","98174","325","450468","Tachyon Publications"
"The Thirteen-Gun Salute","Patrick O'Brian","1989-01-01T03:00:00-05:00","War, Historical, Adventure, Fiction:Historical","4.4","10370","116701","355","396191","Norton"
"The Kite Runner","Khaled Hosseini","2003-05-29T03:00:00-04:00","Historical, Fiction, Contemporary, Adult, War, Classics","4.35","3342194","108657","358","594437","Riverhead Books"
"A Thousand Splendid Suns","Khaled Hosseini","2007-05-01T03:00:00-04:00","Historical, Fiction, Classics, War, Adult, History","4.45","1645491","108068","387","589970","Bloomsbury"
"Band of Brothers: E Company, 506th Regiment, 101st Airborne From Normandy to Hitler's Eagle's Nest","Stephen E. Ambrose","1992-06-06T03:00:00-04:00","History, Non-Fiction, War, Biography","4.44","134140","70721","222","211316","Simon & Schuster; Media Tie-In edition"
"The Tin Ticket: The Heroic Journey of Australia's Convict Women","Deborah J. Swiss","2010-09-21T03:00:00-04:00","History, Biography","3.68","911","115888","415","532428","Berkley"
"Pegasus Bridge: June 6, 1944","Stephen E. Ambrose","1984-05-01T03:00:00-04:00","War, History, Science","4.15","11239","54785","170","190572","Simon & Schuster"
