authors,title,#grscore,#votes,#pagecount,#wordcount
"John le Carré","The Honourable Schoolboy","3.99","25017","672","198089"
"John Hart","Iron House","4.09","17562","519","128821"
"John Hart","Down River","3.97","15884","471","123684"
"John Hart","The Last Child","4.15","44898","478","118513"
"John Grisham","The Client","4.06","457178","533","144098"
"John Grisham","The Testament: A Novel","3.91","123921","484","128874"
"John Grisham","The Chamber","3.85","144439","690","189147"
"John Grisham","Skipping Christmas","3.57","83928","161","41880"
"John Grisham","The Firm","4.25","107277","528","139925"
"John Grisham","The Brethren","3.77","99318","382","103785"
"John Grisham","The Street Lawyer","3.89","120300","380","102377"
"John Grisham","The Confession","3.92","77122","453","132324"
"John Grisham","A Painted House","3.77","99799","411","119458"
"John Grisham","The King of Torts","3.73","89157","399","109339"
"John Grisham","The Appeal","3.64","60900","383","110781"
"John Grisham","A Time to Kill","4.12","818207","667","164384"
"John Grisham","The Litigators","3.89","81593","421","119544"
"John Grisham","Playing for Pizza","3.52","55300","254","70308"
"John Grisham","The Associate","3.71","73765","385","105667"
"John Grisham","The Broker","3.84","100231","376","101705"
"John Grisham","The Innocent Man: Murder and Injustice in a Small Town","3.86","82297","382","115471"
"John Grisham","The Runaway Jury","4.03","311303","494","136790"
"John Grisham","The Summons","3.73","82039","312","84088"
"John Grisham","The Rainmaker","4.01","203220","598","167595"
"John Grisham","The Pelican Brief","4.06","441107","440","114199"
"John Grisham","The Last Juror","3.96","106052","386","111406"
"John Grisham","Ford County","3.72","27825","296","84692"
"John Grisham","The Partner","3.97","131841","413","111419"
"John Grisham","Bleachers","3.54","45396","151","40946"
"John Ajvide Lindqvist","Little Star","3.64","7647","521","157824"
"John Ajvide Lindqvist","Itsy Bitsy: A Short Story","","","86","23653"
"John Ajvide Lindqvist","Harbor","3.66","8200","583","167130"
"John Ajvide Lindqvist","Let the Right One In","4.04","117660","695","171212"
"John Ajvide Lindqvist","Harbour","3.66","8200","742","166758"
"Joel Goldman","No Way Out","4.13","1295","375","101461"
"Joel Goldman","Shakedown","4.04","1841","392","105497"
"Joel Goldman","Die, Lover, Die!","3.4","30","36","9597"
"Joel Goldman","Motion to Kill","4.05","2997","351","88052"
"Joel Goldman","The Dead Man","4.16","1634","378","99642"
"Joel Goldman","The Last Witness: A Novel","4.18","1646","336","88569"
"Jo Nesbø","Nemesis","3.98","78320","345","137006"
"Jo Nesbø","The Snowman","4.02","147064","516","137259"
"Jo Nesbø","Headhunters","3.79","38756","257","73764"
"Jo Nesbø","The Devil's Star","4.06","74219","505","129478"
"Jo Nesbø","The Redbreast","3.94","106870","532","140904"
"Jo Nesbø","The Redeemer","4.09","48432","553","142715"
"Jo Nesbø","Phantom","4.11","50167","517","136802"
"Jeffrey Siger","Assassins of Athens","3.81","740","332","84687"
"Jeffrey Siger","An Aegean Prophecy","3.84","478","283","74734"
"Jefferson Bass","The Bone Thief","4.05","5550","233","97996"
"Jeffery Deaver & R. L. Stine & Lisa Scottoline & Raymond Khoury","No Rest for the Dead","3.73","6633","287","76598"
"Jeffrey Siger","Murder in Mykonos","3.72","2385","325","89181"
"Jefferson Bass","Carved in Bone","3.93","13316","338","102823"
"Jefferson Bass","Bones of Betrayal","4.1","6454","299","91536"
"Jefferson Bass","Flesh and Bone","4.06","10867","341","104800"
"Jefferson Bass","The Devil's Bones","4.13","8049","285","84052"
"Jefferson Bass","Madonna and Corpse","3.75","1178","124","36702"
"Jefferson Bass","The Bone Yard","4.15","5273","286","88882"
"Janet Evanovich","Janet Evanovich Three and Four Two-Book Set","4.36","71378","335","85767"
"Janet Evanovich","Cuestión De Suerte","4.19","136209","307","78299"
"Janet Evanovich","Twelve Sharp","4.17","103956","264","70768"
"Janet Evanovich","Fearless Fourteen","4.06","98221","252","69002"
"Janet Evanovich","Explosive Eighteen","3.98","83760","267","66602"
"Janet Evanovich & Charlotte Hughes","Full Bloom","3.88","16468","305","77918"
"Janet Evanovich & Charlotte Hughes","Full Scoop","3.86","15209","285","75821"
"Janet Evanovich","Plum Lovin'","3.76","59029","148","36511"
"Janet Evanovich","Smoking 17","3.99","87969","274","66970"
"Janet Evanovich","Lean Mean Thirteen","4.11","100968","273","71054"
"Janet Evanovich","Wicked Appetite","3.79","61612","268","64067"
"Janet Evanovich","To the Nines","4.16","124471","299","80127"
"Janet Evanovich","Sizzling Sixteen","3.98","85723","252","63301"
"Janet Evanovich","Ten Big Ones","4.16","106849","316","78592"
"Janet Evanovich","Metro Girl","3.7","36956","280","73933"
"Janet Evanovich","Seven Up","4.15","131002","311","77938"
"Janet Evanovich","Visions of Sugar Plums","3.73","83457","116","29254"
"Janet Evanovich","Plum Lucky","3.78","54167","150","37320"
"Janet Evanovich","Eleven on Top","4.17","114261","298","80406"
"Janet Evanovich","Motor Mouth","3.73","27363","182","75965"
"Janet Evanovich & Charlotte Hughes","Full Tilt","3.79","20444","287","71939"
"Janet Evanovich","One For The Money","4.05","571115","259","72024"
"Janet Evanovich & Charlotte Hughes","Full Speed","3.89","15338","242","62244"
"Janet Evanovich","Hard Eight","4.17","129608","304","79152"
"Janet Evanovich","High Five","4.18","134150","326","79980"
"Janet Evanovich","Plum Spooky","3.84","49521","277","68341"
"Janet Evanovich","Janet Evanovich Three and Four Two-Book Set","4.36","71378","326","81084"
"Janet Evanovich","Finger Lickin' Fifteen","4.03","94251","270","67797"
"Steffie Hall & Charlotte Hughes & Janet Evanovich","Full House","3.78","29813","312","83942"
"Janet Evanovich & Charlotte Hughes","Full Blast","3.9","16106","268","69384"
"Janet Evanovich","Two for the Dough","4.11","175882","321","80974"
"James Thompson","Lucifer's Tears","3.82","2391","304","83092"
"James Thompson","Helsinki White","3.48","1145","290","85718"
"James Rollins","Amazonia","4.15","34735","560","138914"
"James Rollins","The Last Oracle","4.17","34626","512","129693"
"James Rollins","Deep Fathom","4.09","19298","679","134978"
"James Rollins","Excavation","4.05","20891","459","123537"
"James Rollins","The Skeleton Key","4.14","8660","117","31181"
"James Rollins","Subterranean","4.02","27194","462","120971"
"James Rollins","The Devil Colony","4.19","27708","533","139595"
"James Rollins","The Judas Strain","4.17","33885","823","146711"
"James Rollins","Sandstorm","3.96","53478","527","160909"
"James Rollins","Ice Hunt","4.06","19380","765","144705"
"James Rollins","The Doomsday Key","4.18","31075","488","125180"
"James Rollins","Altar of Eden","4.05","20092","406","105876"
"James Patterson & Martin Dugard","The Murder of King Tut","3.39","10790","203","51160"
"James Patterson","Along Came a Spider","4.13","478508","387","107144"
"James Rollins","Black Order","4.16","36722","431","132938"
"James Patterson & Maxine Paetro","4th of July","4.11","94763","267","68119"
"James Patterson","Fang","4.05","63297","204","55584"
"James Patterson","Bloody Valentine","3.56","2818","93","21183"
"James Patterson","The Midnight Club","3.84","17077","304","78322"
"Patterson","I, Alex Cross","4.05","47633","267","67927"
"James Patterson & Maxine Paetro","The 8th Confession","4.08","59245","263","63062"
"James Patterson","Kiss the Girls","4.0","348590","370","103211"
"James Patterson & Andrew Gross","Lifeguard","3.81","28322","274","72283"
"James Patterson & Michael Ledwidge","The Dangerous Days of Daniel X","3.58","17933","196","35627"
"James Patterson","Jack & Jill","4.01","86778","396","106625"
"James Patterson & Peter de Jonge","Miracle on the 17th Green","3.74","6425","102","28661"
"James Patterson","The Big Bad Wolf","4.04","60757","270","73243"
"James Patterson & Gabrielle Charbonnet","Sundays at Tiffany's","3.77","72026","234","59685"
"James Patterson & Maxine Paetro","The 9th Judgment","4.15","58121","249","62086"
"James Patterson","Cradle and All","","","272","68827"
"James Patterson & Andrew Gross","3rd Degree","4.07","99824","261","64903"
"James Patterson & David Ellis","Guilty Wives","3.9","36462","377","102811"
"James Patterson & Chris Tebbetts","The Worst Years of My Life","4.04","23593","141","32496"
"James Patterson","Don't Blink","3.85","18829","284","70081"
"James Patterson & Adam Sadler","Demons and Druids","3.89","5366","152","39505"
"James Patterson & Hal Friedman & Cory Friedman","Against Medical Advice","3.99","8259","188","53873"
"James Patterson","Kill Alex Cross","4.07","38489","270","70544"
"James Patterson & Martin Dugard","The Murder of King Tut","3.39","10790","642","162277"
"James Patterson & Marshall Karp","Kill Me if You Can","4.04","25127","283","69297"
"James Patterson","London Bridges","3.97","53531","267","69591"
"James Patterson & Peter de Jonge","The Beach House","None","","230","63658"
"James Patterson","Mary, Mary","None","","281","73145"
"James Patterson & Maxine Paetro","The 5th Horseman","","","307","71400"
"James Patterson","Cross Country","","","272","66775"
"James Patterson & Maxine Paetro","7th Heaven","","","270","66723"
"James Patterson","Max: A Maximum Ride Novel","","","221","56610"
"James Patterson & Andrew Gross","2nd Chance","4.08","120901","285","73822"
"James Patterson","Sam's Letters to Jennifer","4.16","94051","150","39890"
"James Patterson","School's Out Forever","4.14","123801","307","76864"
"James Patterson & Ned Rust","Daniel X: Watch the Skies","3.79","7636","170","41709"
"James Patterson","1st to Die","4.1","352644","354","82620"
"James Patterson & Maxine Paetro","Private: #1 Suspect","3.98","24788","300","74721"
"James Patterson & Richard Dilallo","Alex Cross's Trial","4.0","30781","294","72547"
"James Patterson & Maxine Paetro","Private","3.87","56036","279","68783"
"James Patterson","Black Friday","3.7","13873","371","89943"
"James Patterson","The Final Warning","3.85","73339","178","46263"
"James Patterson","Double Cross","4.04","55176","272","71797"
"James Patterson & Maxine Paetro","The 6th Target","4.06","73920","296","70651"
"James Patterson","Cat and Mouse","4.04","78989","346","90463"
"James Patterson","Violets Are Blue","4.01","67963","277","77460"
"James Patterson","The Angel Experiment","4.07","229772","221","55845"
"James Patterson & Michael Ledwidge","Tick Tock","4.11","31852","274","73283"
"James Patterson & Gabrielle Charbonnet","Witch & Wizard","3.55","59152","202","50326"
"Jacquelyn Mitchard James Patterson James Patterson","Suzanne's Diary for Nicholas","4.17","153596","161","40755"
"James Patterson","The Angel Experiment","4.07","229772","331","83856"
"James Patterson & Peter de Jonge","Beach Road","3.85","37388","228","63742"
"James Patterson","Pop Goes the Weasel","4.04","73407","347","92980"
"James Patterson & Michael Ledwidge","Worst Case","4.09","32477","250","64103"
"James Patterson","Four Blind Mice","4.05","56017","271","74204"
"James Patterson & Michael Ledwidge","Now You See Her","4.03","41372","283","71545"
"James Patterson","Roses Are Red","4.09","73077","261","70806"
"James Patterson & Mark T. Sullivan","Private Games","3.87","25217","309","81121"
"James Patterson & Michael Ledwidge","The Quickie","3.86","43205","251","62401"
"James Patterson","The Thomas Berryman Number","2.82","6305","238","60789"
"James Patterson","Saving the World and Other Extreme Sports","4.14","96617","297","72950"
"James Patterson","When the Wind Blows","3.94","54118","350","89879"
"James Patterson","Cross Fire","4.12","37951","257","67528"
"James Patterson & Mark Pearson","Private London","3.82","20376","279","66887"
"James Patterson & Andrew Gross","The Jester","3.82","20885","384","104747"
"James Patterson & Michael Ledwidge","Step on a Crack","4.07","58389","256","66880"
"James Patterson","Run for Your Life","4.07","36527","251","66375"
"James Patterson & Maxine Paetro","11th Hour","4.1","51573","284","69380"
"James Patterson","Season of the Machete","3.24","7097","131","53103"
"James Patterson & Howard Roughan","Honeymoon","3.87","47821","286","66162"
"James Patterson & Maxine Paetro","10th Anniversary","4.13","55726","276","68417"
"James Patterson","Alex Cross, Run","4.12","33327","260","69761"
"James Patterson","See How They Run","3.82","12997","251","61015"
"James Patterson & Liza Marklund","The Postcard Killers","3.83","30870","447","67842"
"James Patterson & Neil McMahon","Toys","3.39","13733","263","65813"
"James Patterson & Andrew Gross","Judge & Jury","4.01","51626","296","75034"
"James Patterson","The Lake House","3.8","40010","270","67528"
"James Thompson","Snow Angels","3.67","4595","264","72013"
"James Ellroy & Otto Penzler","The Best American Mystery Stories","3.54","167","713","156006"
"James Becker","The Messiah Secret","3.83","1823","347","99672"
"James Becker","The Moses Stone","3.82","2152","250","105515"
"James Becker","The Nosferatu Scroll","3.59","1426","335","102717"
"James Becker","The First Apostle","3.76","3506","336","93663"
"J. R. R. Tolkien","The Hobbit","4.29","4310970","300","96884"
"J. R. R. Tolkien","The Two Towers","4.5","1071526","505","157031"
"J. R. R. Tolkien","The Lord of the Rings","4.54","711993","1823","556073"
"J. K. Rowling","Harry Potter and the Sorcerer's Stone","4.47","10957924","315","80761"
"J. K. Rowling","Harry Potter and the Order of the Phoenix","4.5","3657769","999","262791"
"J. K. Rowling","The Tales of Beedle the Bard","4.03","505552","49","12719"
"J. K. Rowling","Harry Potter and the Deathly Hallows","4.62","3978898","753","198782"
"J. K. Rowling","Harry Potter and the Half-Blood Prince","4.58","3533275","661","173458"
"Newt Scamander & J. K. Rowling","Fantastic Beasts and Where to Find Them","3.95","413231","66","14793"
"J. K. Rowling","Harry Potter and the Prisoner of Azkaban","4.58","4626607","446","112353"
"J. K. Rowling","Harry Potter and the Chamber of Secrets","4.43","4306086","349","89641"
"Kennilworthy Whisp & Newt Scamander & J. K. Rowling","Harry Potter Schoolbooks: Quidditch Through the Ages and Fantastic Beasts and Where to Find Them","4.36","13126","47","11866"
"J. K. Rowling","Harry Potter and the Goblet of Fire","4.57","4030887","738","197647"
"J. D. Robb","Interlude in Death","4.27","19812","108","28273"
"J. D. Robb & Nora Roberts","Innocent in Death","4.4","33426","429","110038"
"Nora Roberts & J. D. Robb","Remember When","4.26","26662","579","150435"
"J. D. Robb & Susan Plunkett & Dee Holmes & Claire Cross","Silent Night","4.2","5089","101","26904"
"J. D. Robb & Nora Roberts","Reunion in Death","4.38","31103","399","104777"
"J. D. Robb","Portrait in Death","4.38","40850","426","110067"
"J. D. Robb","Rapture in Death","4.28","53046","333","88007"
"J. D. Robb","Kindred in Death","4.37","26845","421","110074"
"J. D. Robb & Nora Roberts","Born in Death","4.38","31114","396","100538"
"J. D. Robb","Origin in Death","4.38","30563","409","101276"
"J. D. Robb","Imitation in Death","4.39","31626","429","113388"
"J. D. Robb","Betrayal in Death","4.34","35267","390","102911"
"J. D. Robb","Treachery in Death","4.47","32421","408","103830"
"J. D. Robb","Celebrity in Death","4.32","29247","427","108911"
"J. D. Robb","Strangers in Death","4.33","28977","102","26651"
"J. D. Robb","Fantasy in Death","4.28","27723","390","100419"
"J. D. Robb","Salvation in Death","4.3","27142","415","107722"
"J. D. Robb","Strangers in Death","4.33","28977","408","107369"
"J. D. Robb","Eternity in Death","4.23","13628","110","29217"
"J. D. Robb","Ritual in Death","4.26","13061","91","23288"
"J. D. Robb","Creation in Death","4.4","29206","393","100580"
"J. D. Robb","Big Jack","4.22","12485","277","73591"
"J. D. Robb & Mary Blayney & Patricia Gaffney & Ruth Ryan Langan & Mary Kay McComas","The Unquiet","4.07","4603","116","28675"
"J. D. Robb & Nora Roberts","Survivor in Death","4.42","34468","450","114600"
"J. D. Robb","New York to Dallas","4.45","33840","434","109075"
"J. D. Robb","Ceremony in Death","4.27","47791","353","92235"
"J. D. Robb","Holiday in Death","4.34","44407","359","91443"
"J. D. Robb","Missing in Death","4.23","10748","100","26215"
"J. D. Robb","Visions in Death","4.39","30172","404","100523"
"J. D. Robb","Immortal in Death","4.28","59950","362","94340"
"J. D. Robb","Conspiracy in Death","4.37","41813","412","108001"
"J. D. Robb & Nora Roberts","Seduction in Death","4.35","32344","404","102409"
"J. D. Robb","Witness in Death","4.33","36488","386","96859"
"J. D. Robb","Promises in Death","4.42","38435","395","102966"
"J. D. Robb","Vengeance in Death","4.36","45794","377","99635"
"J. D. Robb","Judgement in Death","4.37","39934","407","105981"
"J. D. Robb & Nora Roberts","Divided in Death","4.36","31362","428","111579"
"J. D. Robb & Nora Roberts","Memory in Death","4.34","32728","408","105371"
"J. D. Robb","Glory in Death","4.27","70230","344","88418"
"J. D. Robb","Loyalty in Death","4.33","36949","400","103065"
"Mary Blayney & Patricia Gaffney & Ruth Ryan Langan & Mary Kay McComas","The Other Side","4.15","4462","95","25118"
"J. D. Robb","Purity in Death","4.38","31839","404","102790"
"J. A. Jance","Left for Dead","4.05","6002","345","98730"
"J. A. Jance","Until Proven Guilty","3.96","15394","243","69778"
"J. A. Jance","Damage Control","4.07","7565","363","100753"
"J. A. Jance","Betrayal of Trust","4.15","8696","353","100800"
"Ian Rankin","Doors Open","3.54","5715","336","92509"
"J. A. Jance","Fatal Error","3.98","6710","330","97716"
"Ian Rankin","The Hanging Garden","4.09","13826","469","102988"
"Ian Rankin","The Flood","3.41","2731","206","65032"
"Ian Rankin","A Cool Head","3.5","1347","84","21084"
"Paul Kemprecos","Bluefin Blues","4.24","260","553","137027"
"Ian Rankin","Let It Bleed","4.03","16243","385","93533"
"Ian Rankin","Resurrection Men","4.05","14204","573","134911"
"Jack Harvey & Ian Rankin","Blood Hunt","3.68","2683","403","120897"
"Ian Rankin","Strip Jack","3.88","16620","355","88641"
"Ian Rankin","The Complete Short Stories","3.93","322","378","115169"
"Ian Rankin","Knots and Crosses","3.8","55964","221","61723"
"Ian Rankin","Hide and Seek","3.83","24765","281","72445"
"Ian Rankin","Mortal Causes","3.97","13658","368","89956"
"Ian Rankin","Fleshmarket close/ Fleshmarket Alley","4.01","13947","546","128590"
"Ian Rankin","A Question of Blood","4.07","14177","504","121624"
"Ian Rankin","Death Is Not the End","3.75","1265","59","15897"
"Ian Rankin","The Impossible Dead","3.98","10905","468","107649"
"Ian Rankin","The Complaints","3.88","15074","496","119818"
"Ian Rankin","The Falls","4.04","15019","594","147249"
"Ian Rankin","The Naming of the Dead","4.03","12598","547","134546"
"Ian Rankin","The Black Book","3.97","16025","362","94070"
"Jack Harvey & Ian Rankin","Bleeding Hearts","3.64","2919","444","122262"
"Ian Rankin","Set in Darkness","4.05","12495","510","128014"
"Ian Rankin","Exit Music","4.13","17717","506","121368"
"Jack Harvey & Ian Rankin","Witch Hunt","3.76","3487","461","122642"
"Henning Mankell","Before the Frost","3.85","13792","446","117613"
"Henning Mankell","Shadows in the Twilight","3.64","578","175","45002"
"Ian Rankin","Tooth and Nail","3.93","20094","289","83004"
"Henning Mankell","The Man Who Smiled","3.95","25406","420","117358"
"Henning Mankell","The Pyramid","3.86","13804","502","130819"
"Henning Mankell","When the Snow Fell","3.79","720","203","53972"
"Henning Mankell","The Troubled Man","3.98","18569","533","151612"
"Henning Mankell","One Step Behind","4.11","21913","555","144017"
"Henning Mankell","Firewall","3.97","20205","552","142073"
"Henning Mankell","The White Lioness","3.87","23275","546","155605"
"Henning Mankell","The Dogs of Riga","3.72","29778","333","97741"
"Henning Mankell","The Fifth Woman","4.04","27726","580","151656"
"Henning Mankell","A Bridge to the Stars","3.51","1586","171","44542"
"Henning Mankell","Sidetracked","4.08","24427","498","130301"
"Helene Tursten","The Glass Devil","3.79","2823","345","95286"
"Helene Tursten","Night Rounds","3.78","3755","354","94776"
"Helene Tursten","The Torso","3.83","3047","452","120180"
"Heather Graham","The Unseen","4.03","5953","316","84379"
"Heather Graham","Ghost Moon","4.1","4279","348","88957"
"Heather Graham","Ghost Shadow","4.02","6281","375","94723"
"Heather Graham","Ghost Memories","3.98","1276","47","12925"
"Heather Graham","Ghost Night","4.07","5232","351","92890"
"Harlan Coben","Innocent","4.01","43893","563","104416"
"Harlan Coben","The Woods: A Suspense Thriller","4.06","107856","427","103930"
"Harlan Coben","Just One Look","4.02","48151","424","100823"
"Harlan Coben","Darkest Fear","4.09","31882","372","82609"
"Harlan Coben","Promise Me","4.04","40042","463","104012"
"Harlan Coben","One False Move","4.13","34204","351","82375"
"Harlan Coben","Shelter","3.96","33288","261","64276"
"Harlan Coben","The Final Detail","4.07","33690","392","87028"
"Harlan Coben","Caught","4.01","78943","391","90468"
"Otto Penzler","The Best American Mystery Stories 2011","3.57","977","551","157074"
"Harlan Coben","Alta Tension","4.1","50349","365","89307"
"Harlan Coben","Tell No One","4.06","181196","366","88916"
"Harlan Coben","Fade Away","4.05","39796","373","88831"
"Harlan Coben","Back Spin","4.02","37421","360","84161"
"Harlan Coben","No Second Chance","4.1","43486","428","109116"
"Harlan Coben","Drop Shot","3.99","46159","349","76949"
"Harlan Coben","Deal Breaker","3.98","73875","393","88107"
"Harlan Coben","Hold Tight","3.95","54945","443","103966"
"Harlan Coben","Gone for Good","4.11","69654","431","105262"
"Harlan Coben","Stay Close","3.91","59457","392","94546"
"Harlan Coben","Long Lost","4.01","40437","351","79049"
"Håkan Nesser","The Return","3.69","6606","296","70904"
"Håkan Nesser & Laurie Thompson","The Inspector and Silence","3.7","4834","329","80822"
"Håkan Nesser","Hour of the Wolf","3.8","3009","327","87597"
"Håkan Nesser","Borkmann's Point: An Inspector Van Veeteren Mystery","3.72","9671","303","73159"
"Håkan Nesser","Mind's Eye","3.59","12401","285","65594"
"Håkan Nesser","Unlucky Lottery","3.67","3399","338","83194"
"Håkan Nesser","Woman With Birthmark","3.8","5671","300","75328"
"Gregg Hurwitz","The Crime Writer","3.68","3606","321","87012"
"Gregg Hurwitz","They're Watching","3.74","4410","424","115992"
"Gregg Hurwitz & Gregg Andrew Hurwitz","Last Shot","3.99","840","493","129068"
"Gregg Hurwitz","The Program","4.1","3666","515","134784"
"Gregg Hurwitz","The Tower","3.69","1451","396","110113"
"Gregg Hurwitz","Troubleshooter","4.2","2981","357","94495"
"Gregg Hurwitz & Gregg Andrew Hurwitz","Minutes to Burn","3.41","496","558","156962"
"Gregg Hurwitz","You're Next","3.95","10801","462","121980"
"Gregg Hurwitz","The Kill Clause","3.95","5393","576","157034"
"Greg Iles","Third Degree","3.85","12525","440","120935"
"Greg Iles","The Quiet Game","4.23","40290","665","178094"
"Greg Iles","True Evil","4.11","20959","604","161493"
"Greg Iles","Sleep No More","3.75","10554","440","121306"
"Greg Iles","Black Cross","4.24","13274","662","176481"
"Greg Iles","Dead Sleep","4.09","12993","509","132500"
"Greg Iles","Turning Angel","4.14","29058","590","159267"
"Greg Iles","Mortal Fear","4.02","11149","755","190297"
"Greg Iles","Blood Memory","4.16","17924","649","169796"
"Greg Iles","The Devil's Punchbowl","4.12","22480","723","198039"
"Greg Iles","24 Hours","4.04","13566","398","104720"
"Greg Iles","The Footprints of God","3.79","10215","516","130726"
"Graham Brown","The Eden Prophecy","3.83","1062","398","101614"
"Graham Brown","Black Rain","3.84","2965","435","125119"
"Graham Brown","Black Sun","4.01","1714","407","106326"
"Giorgio Faletti","I Kill","4.01","13431","601","174041"
"Gary Regan","The Bartender's Bible: 1001 Mixed Drinks","","","438","69388"
"Sandy Frances Duncan & George Szanto","Never Sleep With a Suspect on Gabriola Island","3.32","41","401","98928"
"Fred Vargas","The Chalk Circle Man","3.66","12826","222","65106"
"Fred Vargas","An Uncertain Place","3.88","5385","389","101124"
"Fred Vargas","This Night's Foul Work","4.06","5532","442","109106"
"Fred Vargas","Wash This Blood Clean From My Hand","4.06","5349","429","114147"
"Fred Vargas","The Three Evangelists","3.86","6106","261","74236"
"Frank E. Peretti","Piercing the Darkness","4.33","65433","675","173436"
"Frank E. Peretti","The Oath","4.07","29751","635","168306"
"Frank E. Peretti","Illusion","3.92","6364","612","163249"
"Frank E. Peretti","Nightmare Academy","3.87","6551","239","61278"
"Frank E. Peretti","Prophet","3.94","15634","701","184649"
"Frank E. Peretti & Ted Dekker","House","3.56","27886","341","79754"
"Frank E. Peretti","The Visitation","3.94","21434","593","162631"
"Frank E. Peretti","Hangman's Curse","3.89","10522","230","57570"
"Faye Kellerman","Milk and Honey","3.99","12517","486","113202"
"Faye Kellerman","Day of Atonement","4.01","7090","436","104805"
"Faye Kellerman","Jupiter's Bones","3.91","5598","497","116806"
"Faye Kellerman","The Garden of Eden and Other Criminal Delights","3.65","1231","334","83970"
"Faye Kellerman","The Mercedes Coffin","3.73","5557","433","107524"
"Faye Kellerman","The Forgotten","3.98","5659","487","119337"
"Faye Kellerman","Gun Games","3.89","6809","460","109861"
"Faye Kellerman","Moon Music","3.42","2807","606","134564"
"Faye Kellerman","Stone Kiss","3.92","5401","495","119926"
"Faye Kellerman","The Burnt House","3.91","7261","505","129815"
"Faye Kellerman","Street Dreams","4.01","6310","514","122722"
"Faye Kellerman","Prayers for the Dead","4.02","6156","520","115757"
"Faye Kellerman","The Ritual Bath","3.95","18107","334","75360"
"Faye Kellerman","Serpent's Tooth","4.01","6304","522","114679"
"Jonathan Kellerman & Faye Kellerman","Double Homicide","3.46","4742","257","61043"
"Faye Kellerman","The Quality of Mercy","3.76","1466","828","200794"
"Faye Kellerman","Justice","4.01","5773","529","121036"
"Faye Kellerman","Sanctuary","4.04","8562","498","118797"
"Faye Kellerman","Blindman's Bluff","3.89","6588","464","112732"
"Faye Kellerman","False Prophet","3.92","6023","506","116255"
"Faye Kellerman","Sacred and Profane","3.92","8636","402","88694"
"Faye Kellerman","Hangman","4.04","10213","510","124024"
"Faye Kellerman","Grievous Sin","3.97","5538","499","115717"
"Faye Kellerman","Straight Into Darkness","3.76","2648","494","124823"
"Faye Kellerman","Stalker","3.91","5131","529","131642"
"Elizabeth George","This Body of Death","4.05","19296","810","242601"
"Elizabeth George","Believing the Lie","3.83","15691","716","217557"
"Elizabeth George","A Place of Hiding","3.9","11238","792","236455"
"Duncan Falconer","Pirate","4.28","247","333","98950"
"Duncan Falconer","The Operative","4.17","405","459","136035"
"Douglas Preston","Tyrannosaur Canyon","3.87","22655","391","108722"
"Douglas Preston & Lincoln Child","The Wheel of Darkness","3.97","32089","518","112978"
"Douglas Preston & Lincoln Child","The Ice Limit","4.0","22097","518","134479"
"Douglas Preston & Lincoln Child","Cemetery Dance","4.04","29816","445","117064"
"Douglas Preston","Jennie: A Novel","3.85","788","317","100125"
"Douglas Preston & Lincoln Child","Gideon's Sword","3.68","20746","767","203996"
"Douglas Preston & Lincoln Child","Fever Dream","4.13","36298","470","121865"
"Douglas Preston & Lincoln Child","Cold Vengeance","4.11","27375","396","101762"
"Douglas Preston & Lincoln Child","Gideon's Corpse","3.83","12607","392","100771"
"Douglas Preston","The Codex","3.9","20869","420","113396"
"Douglas Preston","Blasphemy","3.74","11511","483","120545"
"Douglas Preston & Lincoln Child","Brimstone","4.15","42420","760","166697"
"Douglas Preston & Lincoln Child","Reliquary","4.04","49139","479","132326"
"Douglas Preston & Lincoln Child","Dance of Death","4.2","34707","510","132981"
"Douglas Preston & Lincoln Child","Mount Dragon","3.96","17987","533","136823"
"Douglas Preston & Lincoln Child","The Cabinet of Curiosities","4.27","54315","705","148791"
"Douglas Preston & Lincoln Child","Thunderhead","4.13","31490","500","143868"
"Douglas Preston & Lincoln Child","Still Life With Crows","4.21","40810","525","141477"
"Douglas Preston & Lincoln Child","Riptide","3.98","20481","447","124032"
"Douglas Preston & Lincoln Child","The Book of the Dead","4.17","38894","525","135059"
"Donna Leon","Beastly Things","4.0","8817","285","80366"
"Donna Leon","A Question of Belief","3.93","8220","269","75657"
"Donna Leon","About Face","3.88","8155","290","80655"
"Donna Leon","Blood From a Stone","3.92","9967","290","82961"
"Donna Leon","Drawing Conclusions","3.91","9619","269","78380"
"Don Winslow","The Trail to Buddha's Mirror","3.65","2541","427","111687"
"Don Winslow","While Drowning in the Desert","3.67","1555","168","37262"
"Don Winslow","A Long Walk Up the Waterslide","3.79","1635","300","70517"
"Don Winslow","Way Down on the High Lonely","3.94","2032","340","87887"
"Deon Meyer","Dead Before Dying","3.94","2427","280","103982"
"Deon Meyer","Blood Safari","3.89","3761","434","111761"
"Denise Mina","Field of Blood","3.82","4841","387","112787"
"Denise Mina","Still Midnight","3.6","8687","400","103857"
"Denise Mina","Slip of the Knife","3.87","2947","366","103226"
"Denise Mina","The Dead Hour","3.87","3164","362","105617"
"Denise Mina","Resolution","4.07","2723","425","121720"
"Denise Mina","Deception","3.61","3657","306","97574"
"Denise Mina","Garnethill","3.84","9715","437","116708"
"Denise Mina","The End of the Wasp Season","3.83","8639","440","116293"
"Deborah Crombie","Dreaming of the Bones","4.09","10956","393","115971"
"Deborah Crombie","A Finer End","3.91","7064","369","102671"
"Deborah Crombie","And Justice There Is None","4.11","9199","498","104988"
