authors,title,#grscore,#votes,#pagecount,#wordcount
"Susan Cain","Quiet: The Power of Introverts in a World That Can't Stop Talking","4.08","459356","377","115226"
"Liu Cixin","The Three-Body Problem","4.08","438959","420","119160"
"Richard Matheson","I Am Legend","4.05","144183","162","48941"
"Hermann Hesse","Siddhartha","4.08","829299","152","43926"
"Dave Eggers","Zeitoun","4.05","79299","342","91432"
"Sylvia Plath","The Bell Jar","4.06","1105205","250","70123"
"Justin Cronin","The Passage","4.05","218482","784","324511"
"Markus Zusak","I Am the Messenger","4.03","166112","357","86933"
"Kent Haruf","Plainsong","4.04","77072","319","87049"
"Robert A. Heinlein","Starship Troopers","4.01","238638","288","87584"
"Stanisław Lem","Solaris","3.99","120270","261","71902"
"Ann Leckie","Ancillary Justice","3.99","113504","387","114585"
"Toni Morrison","Sula","4.04","112702","154","48851"
"Franz Kafka","The Trial","3.95","365215","255","87270"
"Plato & Desmond Lee","The Republic","3.96","216477","416","124854"
"Robert A. Heinlein","Stranger in a Strange Land","3.92","320935","753","208912"
"Ray Bradbury","Something Wicked This Way Comes","3.9","143725","293","63302"
"E. M. Forster","A Room With a View","3.9","193767","119","78987"
"Frank Herbert","Chapterhouse: Dune","3.88","77392","822","143035"
"China Miéville","The City & the City","3.9","74690","370","100187"
"George Jackson & Bettina Aptheker & Bobby Seale & James Baldwin & Ruchell Magee & Julian Bond & Huey P. Newton & Erika Huggins & Fleeta Drumgo & John Clutchette,","If They Come in the Morning: Voices of Resistance","4.44","1262","296","89107"
"Ryszard Kapuściński","Imperium","4.36","7362","349","113084"
"Emma Goldman","Living My Life","4.27","2117","718","233305"
"Ryszard Kapuściński","Travels With Herodotus","4.05","9235","253","83912"
"Yōko Tawada","The Emissary","3.42","12666","119","39838"
"Ryszard Kapuściński","The Emperor: Downfall of an Autocrat","4.09","8764","181","49805"
"Ryszard Kapuściński","Shah of Shahs","4.23","7493","129","45233"
"Bell Hooks","Where.We.Stand.Class.Matters.eBook-EEn","","","171","56611"
"Jules Verne","Twenty Thousand Leagues Under the Sea","3.89","266840","269","124948"
"Frank Herbert","Dune Messiah","3.89","364668","292","75568"
"Vladimir Nabokov","Lolita","3.87","901378","368","111287"
"Jules Verne","Journey to the Center of the Earth","3.85","214467","240","83428"
"J. D. Salinger","The Catcher in the Rye","3.8","3741439","277","74539"
"Ernest Hemingway","The Sun Also Rises","3.79","472006","189","68224"
"Iain Banks","The Wasp Factory","3.76","103371","203","66887"
"Homer","The Odyssey","3.82","1138956","380","132106"
"Virginia Woolf","Mrs. Dalloway","3.79","330649","202","72526"
"Bret Easton Ellis","Less Than Zero","3.6","93213","161","51585"
"Kaveh Akbar","Martyr!","4.21","73263","352","86353"
"Jorge Luis Borges & James East Irby & André Maurois","Labyrinths","4.44","32956","287","92406"
"Han Kang","Greek Lessons","3.61","27949","192","39898"
"Italo Calvino","Italian Folktales","4.18","4616","800","334862"
"Edward W. Said","Orientalism: Western Conceptions of the Orient","4.13","27914","394","176406"
"Ted Chiang","Stories of Your Life and Others","4.26","116831","281","140273"
"Roberto Bolaño","2666","4.21","45565","912","384414"
"William Shakespeare","The Winter's Tale","3.71","35256","268","86771"
"William Shakespeare","Henry IV, Part 1","3.8","32178","286","76732"
"William Shakespeare","Henry IV, Part 2","3.77","20686","191","78772"
"William Shakespeare","The Tempest","3.78","219994","223","82568"
"William Shakespeare & Jonathan Bate","The Merchant of Venice","3.78","197309","172","71700"
"William Shakespeare","Hamlet","4.02","1006132","317","107665"
"William Shakespeare","Othello","3.89","422679","215","78815"
"William Shakespeare & Jacqueline Ritten","Romeo & Juliet","3.74","2736946","258","86265"
"Wilson Rawls","Where the Red Fern Grows","4.12","428764","268","77065"
"Arthur Conan Doyle","Sherlock Holmes: The Complete Illustrated Novels","4.35","3583","2146","662920"
"Arthur Conan Doyle","The Complete Sherlock Holmes, Volume I","4.49","29962","1106","358407"
"Stephanie Barron","Jane and the Man of the Cloth","3.87","3970","337","109604"
"Steve Martin","An Object of Beauty","3.77","110102","260","73616"
"Shane Jones","Light Boxes","3.59","3819","69","19928"
"Terry Pratchett","I Shall Wear Midnight","4.36","58885","359","109912"
"Terry Pratchett","Wintersmith","4.25","65830","342","89192"
"Terry Pratchett","Strata","3.53","11388","144","61053"
"Terry Pratchett","Carpe Jugulum","4.19","66073","414","98271"
"Terry Pratchett","The Amazing Maurice and His Educated Rodents","4.07","50715","252","63420"
"Terry Pratchett","A Hat Full of Sky","4.32","77852","299","79633"
"Terry Pratchett & Jacqueline Simpson","The Folklore of Discworld","4.01","3318","310","110380"
